x,y,z,intensity,return_num,classification
282002.38,5660001.62,31.740000000000002,24925,1,20
282003.78,5660001.44,31.740000000000002,25536,1,20
282002.73,5660003.08,31.76,21910,1,20
282003.77,5660002.44,31.720000000000002,28464,1,2
282003.77,5660002.8,31.73,32723,1,2
282003.04,5660003.13,31.73,22041,1,20
282003.77,5660003.12,31.720000000000002,31282,1,2
282004.09,5660001.59,31.66,22150,1,2
282004.37,5660001.4,31.720000000000002,38469,1,2
282004.09,5660001.9,31.7,34078,1,2
282005.53,5660001.53,31.71,36939,1,2
282004.37,5660002.39,31.71,39255,1,2
282004.37,5660003.02,31.71,36808,1,2
282004.74,5660001.38,31.740000000000002,40325,1,2
282004.37,5660001.69,31.75,41571,1,2
282004.74,5660001.68,31.73,43100,1,2
282004.09,5660002.19,31.740000000000002,42969,1,2
282004.74,5660002.03,31.77,38469,1,2
282004.37,5660002.07,31.740000000000002,42619,1,2
282005.17,5660001.59,31.740000000000002,39452,1,2
282005.17,5660001.89,31.73,40500,1,2
282005.17,5660002.2,31.720000000000002,40304,1,2
282005.53,5660001.88,31.73,37988,1,2
282005.84,5660001.98,31.73,41374,1,2
282005.53,5660002.16,31.75,41767,1,2
282004.09,5660002.51,31.75,42838,1,2
282004.74,5660002.37,31.75,43012,1,2
282004.37,5660002.69,31.720000000000002,42182,1,2
282004.74,5660002.66,31.75,43864,1,2
282004.08,5660002.87,31.740000000000002,44257,1,2
282004.08,5660003.16,31.740000000000002,40850,1,2
282004.74,5660003.03,31.720000000000002,43034,1,2
282005.17,5660002.54,31.740000000000002,41549,1,2
282005.53,5660002.47,31.73,43034,1,2
282005.84,5660002.28,31.75,43253,1,2
282005.53,5660002.78,31.720000000000002,43821,1,2
282005.84,5660002.5600000005,31.75,45568,1,2
282005.17,5660002.88,31.73,44105,1,2
282005.17,5660003.14,31.73,45109,1,2
282005.84,5660002.88,31.78,46267,1,2
282005.53,5660003.12,31.75,45481,1,2
282005.83,5660003.27,31.810000000000002,48736,1,2
282001.98,5660003.61,31.69,23439,1,2
282001.98,5660003.9,31.720000000000002,29578,1,2
282002.37,5660003.54,31.71,22325,1,2
282002.73,5660003.41,31.66,19289,1,2
282002.37,5660003.9,31.720000000000002,22391,1,2
282002.72000000003,5660003.74,31.720000000000002,24837,1,2
282001.98,5660004.25,31.73,25908,1,2
282002.72000000003,5660004.1,31.66,16689,1,2
282002.37,5660004.21,31.69,22871,1,2
282002.72000000003,5660004.4,31.720000000000002,20075,1,2
282003.04,5660003.46,31.66,24095,1,2
282003.04,5660003.74,31.71,23789,1,2
282003.39,5660003.5600000005,31.71,24488,1,20
282003.77,5660003.4,31.720000000000002,39670,1,2
282003.04,5660004.11,31.68,25864,1,2
282003.39,5660003.9,31.68,25951,1,2
282001.98,5660004.61,31.69,20709,1,2
282002.37,5660004.5,31.650000000000002,17170,1,2
282002.37,5660005.17,31.71,17213,1,2
282002.72000000003,5660005.05,31.64,15772,1,2
282002.72000000003,5660005.38,31.67,17759,1,2
282003.03,5660004.71,31.71,21517,1,2
282003.39,5660004.85,31.71,39888,1,2
282003.77,5660004.66,31.720000000000002,35869,1,2
282003.03,5660005.04,31.720000000000002,32505,1,2
282003.03,5660005.38,31.71,39867,1,2
